Heidelberg,Karlsruhe,59,60,2.86736,-0.522663,4.36602
Karlsruhe,Offenburg,60,61,2.42808,-0.520841,3.69272
Karlsruhe,Stuttgart,60,510,3.39177,-0.521009,5.15891
Karlsruhe,Appenweier,60,664,2.59897,-0.521309,3.95383
Lucerne,Altdorf,62,63,0.781543,-0.517978,1.18637
Altdorf,Gotthard Pass,63,64,0.548197,-0.518259,0.832305
Altdorf,Zürich,63,399,1.03069,-0.518301,1.56489
Gotthard Pass,Bellinzona,64,65,0.273725,-0.517526,0.415386
Bellinzona,Lugano,65,66,0.134383,-0.513272,0.203358
Bellinzona,San Bernardino,65,516,0.152615,-0.516131,0.231385
Lugano,Chiasso,66,67,0.0776948,-0.500306,0.116566
Chiasso,Como,67,68,0.0987489,-0.484507,0.146593
Como,Milan,68,69,0.215492,-0.480502,0.319036
Milan,Piacenza,69,70,0.243941,-0.477137,0.360334
Milan,Turin,69,449,0.312798,-0.488413,0.465572
Milan,Tortona,69,450,0.175031,-0.479321,0.258927
Milan,Brescia,69,451,0.214822,-0.47634,0.31715
Milan,Gravellona Toce,69,680,0.240396,-0.483432,0.356612
Piacenza,Parma,70,71,0.171861,-0.471072,0.25282
Parma,Modena,71,72,0.261699,-0.46807,0.384193
Modena,Florence,72,73,0.294932,-0.463479,0.431627
Modena,Verona,72,94,0.351768,-0.467218,0.51612
Modena,Bologna,72,95,0.287001,-0.462458,0.419727
Florence,Rome,73,74,0.265554,-0.463812,0.38872
Rome,Pescara,74,125,0.258075,-0.462458,0.377424
Östersund,Mora,75,76,0.0156658,-0.344388,0.0210609
Östersund,Trondheim,75,493,0.0186651,-0.344328,0.025092
Östersund,Sundsvall,75,610,0.0194488,-0.34395,0.0261382
Mora,Säffle,76,77,0.0114906,-0.344893,0.0154537
Säffle,Gothenburg,77,78,0.0152415,-0.345337,0.020505
Gothenburg,Halmstad,78,300,0.0146174,-0.34552,0.019668
Gothenburg,Örebro,78,301,0.0157663,-0.345435,0.0212125
Gothenburg,Oslo,78,489,0.0134135,-0.345531,0.0180483
Hamburg,Hanover,79,80,2.09273,-0.52195,3.18503
Hamburg,Berlin,79,108,2.25986,-0.521229,3.43776
Hamburg,Bremen,79,507,2.6356,-0.522548,4.01283
Hamburg,Lübeck,79,517,1.19341,-0.521778,1.81611
Hanover,Göttingen,80,81,1.46624,-0.522786,2.23277
Hanover,Bad Oeynhausen,80,312,1.68297,-0.522767,2.56277
Hanover,Braunschweig,80,313,1.53742,-0.521538,2.33925
Göttingen,Kassel,81,82,1.33412,-0.523217,2.03215
Kassel,Fulda,82,83,1.80531,-0.523203,2.74985
Kassel,Dortmund,82,508,2.09332,-0.523352,3.18886
Fulda,Würzburg,83,84,2.61298,-0.522786,3.979
Würzburg,Nuremberg,84,85,3.85941,-0.521328,5.87143
Würzburg,Aschaffenburg,84,509,3.44318,-0.522889,5.24358
Würzburg,Stuttgart,84,510,2.73778,-0.522297,4.16771
Würzburg,Ulm,84,512,1.75046,-0.520726,2.66197
Nuremberg,Munich,85,86,3.1706,-0.517617,4.81176
Nuremberg,Heilbronn,85,370,3.46844,-0.521348,5.2767
Nuremberg,Rozvadov,85,371,2.66992,-0.518832,4.05516
Nuremberg,Bayreuth,85,529,3.59321,-0.519367,5.45941
Nuremberg,Regensburg,85,667,2.54059,-0.518954,3.85904
Munich,Rosenheim,86,87,2.2148,-0.514804,3.35499
Munich,Salzburg,86,115,2.6165,-0.514026,3.96144
Munich,Ulm,86,512,2.279,-0.517572,3.45855
Munich,Lindau,86,513,2.46117,-0.515748,3.73052
Munich,Deggendorf,86,531,2.46183,-0.51637,3.73304
Munich,Garmisch-Partenkirchen,86,718,2.15572,-0.51566,3.26734
Munich,Braunau am Inn,86,721,1.9147,-0.515048,2.90086
Rosenheim,Wörgl,87,88,1.46167,-0.514551,2.21377
Rosenheim,Bad Reichenhall,87,407,1.16112,-0.513907,1.75783
Wörgl,Innsbruck,88,89,1.37245,-0.513445,2.07713
Wörgl,St. Johann in Tirol,88,732,1.03305,-0.513625,1.56365
Innsbruck,Brenner,89,90,0.788153,-0.511787,1.19152
Innsbruck,Telfs,89,405,0.698993,-0.513196,1.05771
Innsbruck,Imst,89,406,0.714578,-0.513248,1.08133
Innsbruck,Seefeld,89,720,0.823667,-0.513157,1.24634
Brenner,Fortezza,90,91,0.466271,-0.508213,0.703236
Fortezza,Bolzano,91,92,0.293049,-0.500258,0.439649
Fortezza,Innichen,91,681,0.401295,-0.505183,0.604022
Bolzano,Trento,92,93,0.203239,-0.484205,0.301648
Trento,Verona,93,94,0.310246,-0.471187,0.45643
Verona,Mestre,94,120,0.433015,-0.468549,0.635904
Verona,Brescia,94,451,0.324214,-0.46978,0.476523
Bologna,Cesena,95,96,0.241754,-0.459857,0.352927
Cesena,Perugia,96,97,0.166995,-0.4585,0.243562
Cesena,Ravenna,96,121,0.256225,-0.462675,0.374775
Cesena,Rimini,96,122,0.17273,-0.458321,0.251895
Perugia,Fiano Romano,97,98,0.0682712,-0.456778,0.0994561
Fiano Romano,Naples,98,99,0.0319175,-0.454818,0.0464342
Naples,Salerno,99,100,0.00842581,-0.453007,0.0122428
Naples,Avellino,99,741,0.0125111,-0.452387,0.018171
Salerno,Sicignano degli Alburni,100,101,0.00481074,-0.449435,0.00697286
Salerno,Avellino,100,741,0.0062999,-0.450087,0.00913541
Sicignano degli Alburni,Potenza,101,743,0.002525,-0.447268,0.00365435
Messina,Catania,102,103,6.60106e-05,-0.484759,6.60106e-05
Messina,Palermo,102,474,6.60106e-05,-0.484759,6.60106e-05
Catania,Siracusa,103,104,6.60106e-05,-0.484759,6.60106e-05
Siracusa,Gela,104,105,6.60106e-05,-0.484759,6.60106e-05
Gela,Mazara del Vallo,105,473,6.60106e-05,-0.484759,6.60106e-05
Helsingborg,Copenhagen,299,106,0.00325662,-0.345585,0.00438206
Copenhagen,Malmö,106,135,0.00166635,-0.345506,0.00224209
Rostock,Berlin,107,108,1.68603,-0.520569,2.56373
Rostock,Lübeck,107,517,0.850061,-0.52112,1.29305
Rostock,Sassnitz,107,625,0.712779,-0.520628,1.08387
Berlin,Lübbenau,108,109,2.5177,-0.520114,3.82719
Berlin,Szczecin,108,137,1.99854,-0.520567,3.03892
Berlin,Świebodzin,108,139,2.39862,-0.521082,3.6485
Berlin,Magdeburg,108,314,2.52871,-0.520503,3.84492
Berlin,Leipzig,108,526,2.22303,-0.520064,3.37915
Berlin,Neubrandenburg,108,700,1.55473,-0.520549,2.36405
Lübbenau,Dresden,109,110,1.84548,-0.519514,2.80423
Lübbenau,Cottbus,109,644,1.37406,-0.519902,2.08843
Dresden,Ústí nad Labem,110,111,1.85996,-0.517659,2.82279
Dresden,Chemnitz,110,337,2.09914,-0.519044,3.18868
Dresden,Görlitz,110,338,1.34929,-0.519234,2.04988
Ústí nad Labem,Prague,111,112,2.06865,-0.515531,3.1351
Prague,Tábor,112,113,1.97174,-0.513032,2.98331
Prague,Mladá Boleslav,112,146,1.16347,-0.51494,1.76259
Prague,Jihlava,112,147,1.98669,-0.512455,3.00477
Prague,Plzeň,112,372,2.2463,-0.514419,3.40184
Prague,Karlovy Vary,112,523,1.39185,-0.51524,2.10898
Prague,Hradec Králové,112,551,1.50417,-0.514416,2.27794
Tábor,Linz,113,114,1.73229,-0.512487,2.62007
Linz,Salzburg,114,115,1.81637,-0.512021,2.74639
Linz,Sattledt,114,408,0.735595,-0.511477,1.11184
Linz,Sankt Pölten,114,409,1.7108,-0.510682,2.58447
Linz,Wels,114,669,1.30979,-0.512501,1.98106
Salzburg,Villach,115,116,2.63717,-0.509092,3.97973
Salzburg,Bad Reichenhall,115,407,1.39617,-0.512335,2.11147
Salzburg,Sattledt,115,408,1.45112,-0.509869,2.19101
Salzburg,Lofer,115,733,1.67077,-0.51263,2.52726
Villach,Tarvisio,116,117,1.32687,-0.505242,1.99726
Villach,Karavanke Tunnel,116,537,1.12783,-0.503413,1.6956
Villach,Spittal an der Drau,116,682,1.3095,-0.506149,1.9723
Villach,Klagenfurt,116,683,1.38523,-0.504474,2.08404
Tarvisio,Udine,117,118,0.614514,-0.500557,0.922113
Udine,Palmanova,118,119,0.517354,-0.489586,0.770644
Palmanova,Mestre,119,120,0.54395,-0.478413,0.804183
Palmanova,Trieste,119,452,0.587533,-0.485288,0.872656
Mestre,Ravenna,120,121,0.330697,-0.46856,0.485648
Rimini,Fano,122,123,0.0849388,-0.456374,0.123703
Fano,Ancona,123,124,0.0746755,-0.455935,0.108723
Ancona,Pescara,124,125,0.132507,-0.457959,0.193189
Pescara,Canosa di Puglia,125,126,0.143226,-0.457649,0.208773
Canosa di Puglia,Bari,126,127,0.0455772,-0.454229,0.0662796
Canosa di Puglia,Benevento,126,742,0.0469345,-0.454502,0.0682664
Bari,Brindisi,127,128,0.0121803,-0.452346,0.01769
Bari,Taranto,127,476,0.0115413,-0.4522,0.0167603
Brindisi,Taranto,128,476,0.00280548,-0.449131,0.00406551
Igoumenitsa,Preveza,129,130,0.00595578,-0.412198,0.00841074
Igoumenitsa,Ioannina,129,477,0.0138565,-0.414099,0.0195945
Preveza,Rhion,130,131,0.00296496,-0.409634,0.0041795
Rhion,Patras,131,132,0.00106118,-0.406133,0.00149216
Rhion,Aigio,131,175,0.00106118,-0.406133,0.00149216
Patras,Pyrgos,132,133,0.000455993,-0.403431,0.000639954
Pyrgos,Kalamata,133,134,0.000218726,-0.400063,0.00030623
Kalamata,Tripoli,134,177,0.000156466,-0.397908,0.000218726
Malmö,Helsingborg,135,299,0.0044829,-0.345564,0.00603202
Malmö,Kalmar,135,626,0.00426478,-0.345472,0.00573814
Goleniów,Szczecin,136,137,0.85161,-0.520763,1.2951
Goleniów,Koszalin,136,637,0.368397,-0.521608,0.560557
Szczecin,Gorzów Wielkopolski,137,138,0.90835,-0.520986,1.38159
Gorzów Wielkopolski,Świebodzin,138,139,1.09457,-0.521646,1.66555
Świebodzin,Zielona Góra,139,140,1.44752,-0.521605,2.20256
Świebodzin,Poznań,139,315,2.30777,-0.522933,3.51458
Zielona Góra,Legnica,140,141,1.45199,-0.521702,2.2095
Legnica,Jelenia Góra,141,142,1.29298,-0.520434,1.96588
Legnica,Görlitz,141,338,1.43234,-0.52011,2.17731
Legnica,Wrocław,141,339,2.18196,-0.520409,3.31747
Legnica,Cottbus,141,644,1.43404,-0.520153,2.17996
Jelenia Góra,Harrachov,142,143,0.555851,-0.519873,0.844823
Harrachov,Železný Brod,143,144,0.396671,-0.518079,0.602178
Železný Brod,Turnov,144,145,0.648504,-0.516416,0.983401
Turnov,Mladá Boleslav,145,146,0.685474,-0.515411,1.03878
Turnov,Hradec Králové,145,551,0.967331,-0.515318,1.46581
Turnov,Teplice,145,715,0.838955,-0.516252,1.27207
Jihlava,Brno,147,148,0.997475,-0.510761,1.50695
Jihlava,Vienna,147,410,1.60473,-0.510591,2.42409
Brno,Bratislava,148,149,1.38868,-0.508182,2.09438
Brno,Trenčín,148,373,1.38525,-0.509964,2.09168
Brno,Vienna,148,410,1.5841,-0.508389,2.38944
Brno,Olomouc,148,716,1.40708,-0.511676,2.12705
Bratislava,Rajka,149,150,1.47981,-0.506946,2.22999
Bratislava,Žilina,149,195,1.593,-0.510505,2.40623
Bratislava,Győr,149,196,1.47594,-0.502561,2.2177
Bratislava,Vienna,149,410,2.04724,-0.504148,3.07935
Bratislava,Zvolen,149,568,2.08447,-0.506467,3.14018
Bratislava,Dunajská Streda,149,724,1.27136,-0.507023,1.91597
Rajka,Csorna,150,151,0.585645,-0.506722,0.882404
Csorna,Szombathely,151,152,0.284998,-0.503702,0.428553
Szombathely,Zalaegerszeg,152,153,0.27146,-0.496831,0.40633
Zalaegerszeg,Nagykanizsa,153,154,0.527662,-0.493182,0.787895
Nagykanizsa,Letenye,154,155,0.327316,-0.492464,0.488507
Nagykanizsa,Zagreb,154,156,0.70679,-0.490938,1.05378
Nagykanizsa,Balatonvilágos,154,553,1.04689,-0.493307,1.56333
Letenye,Zagreb,155,156,0.379474,-0.489623,0.565273
Zagreb,Karlovac,156,157,0.555456,-0.489462,0.82733
Zagreb,Ljubljana,156,454,0.542564,-0.490828,0.808869
